ce-M γ 1,9.14E-01,1.749E-03*,1.60E-03
ce-N+ γ 1,7.57E-02,2.174E-03*,1.65E-04
γ 2,8.89E-01,1.405E-01,1.25E-01
ce-K γ 2,8.79E-02,1.194E-01,1.05E-02
ce-L1 γ 2,9.67E-03,1.374E-01,1.33E-03
ce-L2 γ 2,6.10E-04,1.377E-01,8.40E-05
ce-L3 γ 2,3.01E-04,1.378E-01,4.15E-05
ce-M γ 2,1.92E-03,1.400E-01*,2.70E-04
ce-N+ γ 2,3.71E-04,1.405E-01*,5.21E-05
ce-K γ 3,6.91E-03,1.216E-01,8.41E-04
ce-L1 γ 3,1.17E-03,1.396E-01,1.63E-04
ce-L2 γ 3,2.43E-04,1.399E-01,3.39E-05
ce-L3 γ 3,7.40E-04,1.400E-01,1.04E-04
ce-M γ 3,4.19E-04,1.422E-01*,5.97E-05
Kα1 X ray,4.03E-02,1.837E-02,7.39E-04
Kα2 X ray,2.12E-02,1.825E-02,3.86E-04
Kβ1 X ray,6.88E-03,2.062E-02,1.42E-04
Auger-KLL,1.45E-02,1.535E-02*,2.23E-04
Auger-KLX,5.76E-03,1.777E-02*,1.02E-04
Auger-LMM,7.10E-02,2.053E-03*,1.46E-04
Auger-LMX,3.05E-02,2.468E-03*,7.53E-05
Auger-MXY,1.11E+00,4.090E-04*,4.54E-04
